Time,input_1,output
55.2,-0.103361955,-0.103361955
55.3,0.284748235,0.284748235
55.4,-0.511311085,-0.5
55.5,0.749591445,0.5
55.6,-0.939424905,-0.5
55.7,0.996267665,0.5
55.8,-0.833454004,-0.5
55.9,0.410970266,0.410970266
56,0.199709981,0.199709981
56.1,-0.776070623,-0.5
56.2,0.997707015,0.5
56.3,-0.63667329,-0.5
56.4,-0.184417958,-0.184417958
56.5,0.901794816,0.5
56.6,-0.85026772,-0.5
56.7,-0.047451639,-0.047451639
56.8,0.922381754,0.5
56.9,-0.701777654,-0.5
57,-0.456787434,-0.456787434
57.1,0.976196932,0.5
57.2,0.025632588,0.025632588
57.3,-0.994536116,-0.5
57.4,0.171186297,0.171186297
57.5,0.984426568,0.5
57.6,-0.11834851,-0.11834851
57.7,-0.999997512,-0.5
57.8,-0.18478847,-0.18478847
57.9,0.908024764,0.5
58,0.675332808,0.5
58.1,-0.441659315,-0.441659315
58.2,-0.999741341,-0.5
58.3,-0.457094822,-0.457094822
58.4,0.510554924,0.5
58.5,0.9962023,0.5
58.6,0.698255381,0.5
58.7,-0.049271631,-0.049271631
58.8,-0.723439657,-0.5
58.9,-0.997867818,-0.5
59,-0.842640412,-0.5
59.1,-0.417775104,-0.417775104
59.2,0.077331559,0.077331559
59.3,0.499519266,0.499519266
59.4,0.786986712,0.5
59.5,0.941146523,0.5
59.6,0.996177642,0.5
59.7,0.994270607,0.5
59.8,0.971602006,0.5
59.9,0.952969821,0.5
60,0.951056516,0.5
60.1,0.966993483,0.5
60.2,0.990444103,0.5
60.3,0.999045326,0.5
60.4,0.958664934,0.5
60.5,0.827521778,0.5
60.6,0.56819998,0.5
60.7,0.170350526,0.170350526
60.8,-0.319038708,-0.319038708
60.9,-0.772890859,-0.5
61,-0.997824541,-0.5
61.1,-0.814903284,-0.5
61.2,-0.204140682,-0.204140682
61.3,0.568070713,0.5
61.4,0.995573783,0.5
61.5,0.666597523,0.5
61.6,-0.265206106,-0.265206106
61.7,-0.97096668,-0.5
61.8,-0.635582489,-0.5
61.9,0.477315203,0.477315203
62,0.984564335,0.5
62.1,0.082874302,0.082874302
62.2,-0.961304019,-0.5
62.3,-0.400863962,-0.400863962
62.4,0.885581775,0.5
62.5,0.471396737,0.471396737
62.6,-0.906478838,-0.5
62.7,-0.31286875,-0.31286875
62.8,0.990530562,0.5
62.9,-0.105330354,-0.105330354
63,-0.916502422,-0.5
63.1,0.703521231,0.5
63.2,0.351240362,0.351240362
63.3,-0.990842818,-0.5
63.4,0.638488461,0.5
63.5,0.255530128,0.255530128
63.6,-0.911351557,-0.5
63.7,0.920612567,0.5
63.8,-0.395878899,-0.395878899
63.9,-0.288660849,-0.288660849
64,0.801566985,0.5
64.1,-0.997785013,-0.5
64.2,0.902621348,0.5
64.3,-0.626492268,-0.5
64.4,0.286945907,0.286945907
64.5,0.03219576,0.03219576
64.6,-0.288510453,-0.288510453
64.7,0.470953375,0.470953375
64.8,-0.585342645,-0.5
64.9,0.642276733,0.5
65,-0.649448048,-0.5
65.1,0.607955241,0.5
65.2,-0.511850959,-0.5
65.3,0.350799109,0.350799109
65.4,-0.116476593,-0.116476593
65.5,-0.18660977,-0.18660977
65.6,0.526884593,0.5
65.7,-0.833228253,-0.5
65.8,0.995667762,0.5
65.9,-0.894979525,-0.5
66,0.470703932,0.470703932
66.1,0.189818633,0.189818633
66.2,-0.80448761,-0.5
66.3,0.985479702,0.5
66.4,-0.506226439,-0.5
66.5,-0.390650798,-0.390650798
66.6,0.984805328,0.5
66.7,-0.634733211,-0.5
66.8,-0.419401382,-0.419401382
66.9,0.998978314,0.5
67,-0.275972883,-0.275972883
67.1,-0.85686332,-0.5
67.2,0.674962008,0.5
67.3,0.639141056,0.5
67.4,-0.814083085,-0.5
67.5,-0.57178796,-0.5
67.6,0.789692667,0.5
67.7,0.699760599,0.5
67.8,-0.579724958,-0.5
67.9,-0.929301551,-0.5
68,0.075326806,0.075326806
68.1,0.958171858,0.5
68.2,0.658384741,0.5
68.3,-0.353151556,-0.353151556
68.4,-0.981429509,-0.5
68.5,-0.724111678,-0.5
68.6,0.081465366,0.081465366
68.7,0.789557731,0.5
68.8,0.994486812,0.5
68.9,0.690910171,0.5
69,0.1222158,0.1222158
69.1,-0.439403057,-0.439403057
69.2,-0.824671494,-0.5
69.3,-0.988881828,-0.5
69.4,-0.971363638,-0.5
69.5,-0.843906828,-0.5
69.6,-0.674962008,-0.5
69.7,-0.514197053,-0.5
69.8,-0.391258024,-0.391258024
69.9,-0.320913856,-0.320913856
70,-0.309016994,-0.309016994
70.1,-0.356382526,-0.356382526
70.2,-0.45946825,-0.45946825
70.3,-0.607705778,-0.5
70.4,-0.778146691,-0.5
70.5,-0.929487075,-0.5
70.6,-0.999906193,-0.5
70.7,-0.915860314,-0.5
70.8,-0.61943929,-0.5
70.9,-0.11538445,-0.11538445
71,0.478998303,0.478998303
71.1,0.923626862,0.5
71.2,0.940283374,0.5
71.3,0.407760016,0.407760016
71.4,-0.431569408,-0.431569408
71.5,-0.980938201,-0.5
71.6,-0.699423879,-0.5
71.7,0.276305021,0.276305021
71.8,0.984979415,0.5
71.9,0.534791905,0.5
72,-0.627691361,-0.5
72.1,-0.915759378,-0.5
72.2,0.209427425,0.209427425
72.3,0.997455984,0.5
72.4,0.005529175,0.005529175
72.5,-0.99980724,-0.5
72.6,0.02902424,0.02902424
72.7,0.990151617,0.5
72.8,-0.309495008,-0.309495008
72.9,-0.851670228,-0.5
73,0.752184937,0.5
73.1,0.349386577,0.349386577
73.2,-0.997664293,-0.5
73.3,0.528138991,0.5
73.4,0.44714723,0.44714723
73.5,-0.988769427,-0.5
73.6,0.735473011,0.5
73.7,0.005309267,0.005309267
73.8,-0.699154391,-0.5
73.9,0.995912507,0.5
74,-0.850994482,-0.5
74.1,0.423475411,0.423475411
74.2,0.080463357,0.080463357
74.3,-0.510365821,-0.5
