Time,input_1,output
43.4,90.00086176,1.250021544
43.5,-18.04333118,-1.451083279
43.6,-63.97449005,-2.599362251
43.7,99.79651038,1.49491276
43.8,-77.36279183,-2.934069796
43.9,19.5983797,-0.510040508
44,41.4375581,0.035938952
44.1,-83.54794993,-3.088698748
44.2,99.65730138,1.491432535
44.3,-93.8202209,-3.345505523
44.4,74.72787331,0.868196833
44.5,-50.83652336,-2.270913084
44.6,28.1524287,-0.296189283
44.7,-10.00803951,-1.250200988
44.8,-2.211500924,-1.055287523
44.9,8.162192271,-0.795945193
45,-7.845909573,-1.196147739
45.1,1.259745332,-0.968506367
45.2,11.58525282,-0.71036868
45.3,-30.2765809,-1.756914522
45.4,53.27463038,0.33186576
45.5,-77.00123736,-2.925030934
45.6,95.1675909,1.379189773
45.7,-99.1508984,-3.47877246
45.8,80.46368656,1.011592164
45.9,-35.87882997,-1.896970749
46,-26.08415063,-1.652103766
46.1,81.77701886,1.044425472
46.2,-98.97742393,-3.474435598
46.3,57.1633308,0.42908327
46.4,27.00492915,-0.324876771
46.5,-93.84628862,-3.346157216
46.6,79.31492978,0.982873245
46.7,15.36722633,-0.615819342
46.8,-96.00830584,-3.400207646
46.9,61.19384792,0.529846198
47,56.46789501,0.411697375
47.1,-93.91769972,-3.347942493
47.2,-16.31331071,-1.407832768
47.3,99.92029177,1.498007294
47.4,-2.123556998,-1.053088925
47.5,-99.98072405,-3.499518101
47.6,-4.472135884,-1.111803397
47.7,98.52655553,1.463163888
47.8,35.39450046,-0.115137489
47.9,-81.70825176,-3.042706294
48,-80.15669849,-3.003917462
48.1,25.96585048,-0.350853738
48.2,98.41436417,1.460359104
48.3,63.0402168,0.57600542
48.4,-31.66557685,-1.791639421
48.5,-95.32170509,-3.383042627
48.6,-84.1012575,-3.102531437
48.7,-18.21634487,-1.455408622
48.8,53.96409485,0.349102371
48.9,95.22243167,1.380560792
49,95.00810191,1.375202548
49.1,63.54612107,0.588653027
49.2,18.54059315,-0.536485171
49.3,-25.01806098,-1.625451525
49.4,-58.86998528,-2.471749632
49.5,-80.94783903,-3.023695976
49.6,-92.9961408,-3.32490352
49.7,-98.23401923,-3.455850481
49.8,-99.8034611,-3.495086528
49.9,-99.99999995,-3.499999999
50,-100,-3.5
50.1,-99.80287006,-3.495071751
50.2,-98.231079,-3.455776975
50.3,-92.98805335,-3.324701334
50.4,-80.93123453,-3.023280863
50.5,-58.84204714,-2.471051179
50.6,-24.97851696,-1.624462924
50.7,18.58689794,-0.535327551
50.8,63.58734936,0.589683734
50.9,95.02670854,1.375667714
51,95.20226269,1.380056567
51.1,53.90324825,0.347581206
51.2,-18.29356495,-1.457339124
51.3,-84.1471178,-3.103677945
51.4,-95.29412535,-3.382353134
51.5,-31.57318408,-1.789329602
51.6,63.12066067,0.578016517
51.7,98.39480147,1.459870037
51.8,25.85358097,-0.353660476
51.9,-80.22989489,-3.005747372
52,-81.63392507,-3.040848127
52.1,35.52081182,-0.111979704
52.2,98.50227807,1.462556952
52.3,-4.619638081,-1.115490952
52.4,-99.98362796,-3.499590699
52.5,-1.963369246,-1.049084231
52.6,99.91350657,1.497837664
52.7,-16.48375922,-1.41209398
52.8,-93.85605026,-3.346401257
52.9,56.62077252,0.415519313
53,61.0421688,0.52605422
53.1,-96.06347906,-3.401586977
53.2,15.56897212,-0.610775697
53.3,79.18656204,0.979664051
53.4,-93.92093608,-3.348023402
53.5,27.21962766,-0.319509308
53.6,56.97500813,0.424375203
53.7,-98.94353981,-3.473588495
53.8,81.91600528,1.047900132
53.9,-26.32366408,-1.658091602
54,-35.64118787,-1.891029697
54.1,80.30858708,1.007714677
